source,target
C00002460,GPR35
C00002460,IL1B
C00002460,AVPR1A
C00002460,PABPC1
C00002460,PPARG
C00002460,NCOA2
C00002460,BDKRB2
C00002460,STAT3
C00002460,GNAI1
C00002460,RAPGEF4
C00002460,SENP6
C00002460,TP53
C00002460,MTOR
C00002460,MAPK1
C00002460,MAP3K3
C00002460,NCOA1
C00002460,NFKB1
C00002460,HDAC3
C00002460,JUN
C00002460,AKT1
C00002460,LEP
C00002460,ADIPOQ
C00002460,SENP1
C00001917,GNAI1
C00001917,APP
C00001917,TP53
C00001917,GCK
C00001917,GLP1R
C00001917,GAPDH
C00001917,GCKR
C00001917,MTOR
C00001917,MAPK1
C00001917,MYC
C00001917,ATF6
C00001917,NFKB1
C00001917,NCOA2
C00001917,JUN
C00001917,NR3C1
C00001917,STAT3
C00001917,IL2RG
C00001917,IL2RB
C00001917,IL2RA
C00001917,TNFRSF18
C00001917,CD80
C00003426,NFKB1
C00003426,STAT3
C00003426,MYC
C00003426,PPARA
C00003426,LEP
C00003426,ADIPOQ
C00003426,TNF
C00003426,CCL11
C00001232,NRP1
C00001232,GLP1R
C00001232,GNAS
C00001232,ATF6
C00001232,UBA2
C00001232,PADI4
C00001232,CTNNB1
C00001232,PTPN22
C00001232,TNF
C00001232,PRKCA
C00001232,EPAS1
C00001232,UBE2I
C00001232,RAPGEF3
C00001232,OXTR
C00001232,PRKACB
C00001232,GAPDH
C00001232,PPARA
C00001232,GPR35
C00001232,IL1B
C00001232,AVPR1A
C00001232,PPARG
C00001232,PABPC1
C00001232,NCOA2
C00001232,GNAI1
C00001232,RAPGEF4
C00001232,SENP6
C00001232,TP53
C00001232,MAPK1
C00001232,MAP3K3
C00001232,NCOA1
C00001232,NFKB1
C00001232,HDAC3
C00001232,JUN
C00001232,AKT1
C00001232,ALB
C00001232,HDAC1
C00001232,TLE1
C00001232,TLE4
C00001232,TLE2
C00001232,JUP
C00009877,PTPN1
C00009877,SREBF2
C00009877,APOA2
C00009877,SENP1
