source,target
JAK1,EPOR
STAT5B,EPOR
JAK1,SIRT1
EPOR,SIRT1
SOCS3,EPO
JAK1,SOCS3
STAT5A,EPOR
JAK1,STAT5A
JAK2,KITLG
STAT5A,SOCS3
HIF1A,EPO
JAK2,JAK1
JAK2,STAT5B
EPAS1,SIRT1
JAK2,STAT5A
HIF1A,EPAS1
JAK1,STAT5B
PPARA,APOA1
PPARA,PON1
CLU,ALB
PPARG,APOE
ALB,APOA1
ALB,PON1
ALB,APOE
APOE,PON1
PPARG,IL6
LPA,PON1
LPA,APOE
APOA2,APOE
CLU,APOA1
CLU,PON1
IL6,PON1
PPARA,IL6
APOA2,PON1
LPA,IL6
SREBF2,APOA1
LPA,APOA1
APOA2,ALB
SREBF2,PPARG
SREBF2,APOE
CLU,APOE
LPA,PPARA
ALB,IL6
APOA2,APOA1
APOE,APOA1
APOA2,LPA
PPARG,PON1
PPARG,APOA1
APOA1,PON1
PPARA,APOE
CLU,IL6
IL6,APOA1
ALB,PPARA
IL6,APOE
SREBF2,PON1
APOA2,PPARA
ALB,PPARG
SREBF2,PPARA
